Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,EX_3hpppn_e,,,EX_3hpppn_e
1,EX_4hoxpacd_e,,,EX_4hoxpacd_e
2,EX_5mtr_e,,,EX_5mtr_e
3,EX_3ump_e,,,EX_3ump_e
4,EX_5dglcn_e,,,EX_5dglcn_e
5,EX_LalaDgluMdap_e,,,EX_LalaDgluMdap_e
6,EX_LalaDglu_e,,,EX_LalaDglu_e
7,EX_4abut_e,,,EX_4abut_e
8,EX_3cmp_e,,,EX_3cmp_e
9,EX_LalaDgluMdapDala_e,,,EX_LalaDgluMdapDala_e
10,EX_3gmp_e,,,EX_3gmp_e
11,EX_3hpp_e,,,EX_3hpp_e
12,EX_3hcinnm_e,,,EX_3hcinnm_e
13,EX_LalaLglu_e,,,EX_LalaLglu_e
14,DM_4crsol_c,,,DM_4crsol_c
15,DM_5drib_c,,,DM_5drib_c
16,EX_dtmp_e,,,EX_dtmp_e
17,DM_aacald_c,,,DM_aacald_c
18,DM_amob_c,,,DM_amob_c
19,DM_mththf_c,,,DM_mththf_c
20,DM_oxam_c,,,DM_oxam_c
21,BIOMASS_Ec_iJO1366_WT_53p95M,,,BIOMASS_Ec_iJO1366_WT_53p95M
22,EX_ac_e,,,EX_ac_e
23,EX_acac_e,,,EX_acac_e
24,EX_acald_e,,,EX_acald_e
25,EX_acgal_e,,,EX_acgal_e
26,EX_acgal1p_e,,,EX_acgal1p_e
27,EX_acgam_e,,,EX_acgam_e
28,BIOMASS_Ec_iJO1366_core_53p95M,,,BIOMASS_Ec_iJO1366_core_53p95M
29,EX_12ppd__R_e,,,EX_12ppd__R_e
30,EX_dump_e,,,EX_dump_e
31,EX_12ppd__S_e,,,EX_12ppd__S_e
32,EX_14glucan_e,,,EX_14glucan_e
33,EX_15dap_e,,,EX_15dap_e
34,EX_23camp_e,,,EX_23camp_e
35,EX_23ccmp_e,,,EX_23ccmp_e
36,EX_23cgmp_e,,,EX_23cgmp_e
37,EX_23cump_e,,,EX_23cump_e
38,EX_23dappa_e,,,EX_23dappa_e
39,EX_26dap__M_e,,,EX_26dap__M_e
40,EX_acgam1p_e,,,EX_acgam1p_e
41,EX_acmana_e,,,EX_acmana_e
42,EX_acmum_e,,,EX_acmum_e
43,EX_acnam_e,,,EX_acnam_e
44,EX_acolipa_e,,,EX_acolipa_e
45,EX_acser_e,,,EX_acser_e
46,EX_ade_e,,,EX_ade_e
47,EX_adn_e,,,EX_adn_e
48,EX_adocbl_e,,,EX_adocbl_e
49,EX_ag_e,,,EX_ag_e
50,EX_agm_e,,,EX_agm_e
51,EX_akg_e,,,EX_akg_e
52,EX_2ddglcn_e,,,EX_2ddglcn_e
53,EX_34dhpac_e,,,EX_34dhpac_e
54,EX_3amp_e,,,EX_3amp_e
55,EX_ala_B_e,,,EX_ala_B_e
56,EX_duri_e,,,EX_duri_e
57,EX_ala__D_e,,,EX_ala__D_e
58,EX_ala__L_e,,,EX_ala__L_e
59,EX_hxa_e,,,EX_hxa_e
60,EX_hxan_e,,,EX_hxan_e
61,EX_eca4colipa_e,,,EX_eca4colipa_e
62,EX_idon__L_e,,,EX_idon__L_e
63,EX_alaala_e,,,EX_alaala_e
64,EX_all__D_e,,,EX_all__D_e
65,EX_enlipa_e,,,EX_enlipa_e
66,EX_alltn_e,,,EX_alltn_e
67,EX_amp_e,,,EX_amp_e
68,EX_ile__L_e,,,EX_ile__L_e
69,EX_imp_e,,,EX_imp_e
70,EX_indole_e,,,EX_indole_e
71,EX_inost_e,,,EX_inost_e
72,EX_ins_e,,,EX_ins_e
73,EX_anhgm_e,,,EX_anhgm_e
74,EX_arab__L_e,,,EX_arab__L_e
75,EX_arbt_e,,,EX_arbt_e
76,EX_arbtn_e,,,EX_arbtn_e
77,EX_arbtn_fe3_e,,,EX_arbtn_fe3_e
78,EX_isetac_e,,,EX_isetac_e
79,EX_k_e,,,EX_k_e
80,EX_kdo2lipid4_e,,,EX_kdo2lipid4_e
81,EX_arg__L_e,,,EX_arg__L_e
82,EX_lac__D_e,,,EX_lac__D_e
83,EX_enter_e,,,EX_enter_e
84,EX_lac__L_e,,,EX_lac__L_e
85,EX_ascb__L_e,,,EX_ascb__L_e
86,EX_asn__L_e,,,EX_asn__L_e
87,EX_aso3_e,,,EX_aso3_e
88,EX_lcts_e,,,EX_lcts_e
89,EX_etha_e,,,EX_etha_e
90,EX_leu__L_e,,,EX_leu__L_e
91,EX_lipa_e,,,EX_lipa_e
92,EX_asp__L_e,,,EX_asp__L_e
93,EX_btn_e,,,EX_btn_e
94,EX_lipa_cold_e,,,EX_lipa_cold_e
95,EX_ethso3_e,,,EX_ethso3_e
96,EX_lipoate_e,,,EX_lipoate_e
97,EX_but_e,,,EX_but_e
98,EX_etoh_e,,,EX_etoh_e
99,EX_butso3_e,,,EX_butso3_e
100,EX_lys__L_e,,,EX_lys__L_e
101,EX_ca2_e,,,EX_ca2_e
102,EX_lyx__L_e,,,EX_lyx__L_e
103,EX_f6p_e,,,EX_f6p_e
104,EX_mal__D_e,,,EX_mal__D_e
105,EX_mal__L_e,,,EX_mal__L_e
106,EX_cbi_e,,,EX_cbi_e
107,EX_cbl1_e,,,EX_cbl1_e
108,EX_cd2_e,,,EX_cd2_e
109,EX_cgly_e,,,EX_cgly_e
110,EX_chol_e,,,EX_chol_e
111,EX_chtbs_e,,,EX_chtbs_e
112,EX_malt_e,,,EX_malt_e
113,EX_malthx_e,,,EX_malthx_e
114,EX_maltpt_e,,,EX_maltpt_e
115,EX_malttr_e,,,EX_malttr_e
116,EX_maltttr_e,,,EX_maltttr_e
117,EX_cit_e,,,EX_cit_e
118,EX_cl_e,,,EX_cl_e
119,EX_cm_e,,,EX_cm_e
120,EX_man_e,,,EX_man_e
121,EX_man6p_e,,,EX_man6p_e
122,EX_cmp_e,,,EX_cmp_e
123,EX_fald_e,,,EX_fald_e
124,EX_co2_e,,,EX_co2_e
125,EX_cobalt2_e,,,EX_cobalt2_e
126,EX_manglyc_e,,,EX_manglyc_e
127,EX_melib_e,,,EX_melib_e
128,EX_meoh_e,,,EX_meoh_e
129,EX_colipa_e,,,EX_colipa_e
130,EX_colipap_e,,,EX_colipap_e
131,EX_met__D_e,,,EX_met__D_e
132,EX_fe2_e,,,EX_fe2_e
133,EX_met__L_e,,,EX_met__L_e
134,EX_metsox_R__L_e,,,EX_metsox_R__L_e
135,EX_cpgn_e,,,EX_cpgn_e
136,EX_cpgn_un_e,,,EX_cpgn_un_e
137,EX_crn_e,,,EX_crn_e
138,EX_metsox_S__L_e,,,EX_metsox_S__L_e
139,EX_crn__D_e,,,EX_crn__D_e
140,EX_fe3_e,,,EX_fe3_e
141,EX_csn_e,,,EX_csn_e
142,EX_cu_e,,,EX_cu_e
143,EX_mg2_e,,,EX_mg2_e
144,EX_mincyc_e,,,EX_mincyc_e
145,EX_minohp_e,,,EX_minohp_e
146,EX_mmet_e,,,EX_mmet_e
147,EX_mn2_e,,,EX_mn2_e
148,EX_cu2_e,,,EX_cu2_e
149,EX_cyan_e,,,EX_cyan_e
150,EX_cynt_e,,,EX_cynt_e
151,EX_cys__D_e,,,EX_cys__D_e
152,EX_mnl_e,,,EX_mnl_e
153,EX_mobd_e,,,EX_mobd_e
154,EX_fe3dcit_e,,,EX_fe3dcit_e
155,EX_mso3_e,,,EX_mso3_e
156,EX_n2o_e,,,EX_n2o_e
157,EX_na1_e,,,EX_na1_e
158,EX_cys__L_e,,,EX_cys__L_e
159,EX_cytd_e,,,EX_cytd_e
160,EX_dad_2_e,,,EX_dad_2_e
161,EX_nac_e,,,EX_nac_e
162,EX_damp_e,,,EX_damp_e
163,EX_nh4_e,,,EX_nh4_e
164,EX_dca_e,,,EX_dca_e
165,EX_fe3dhbzs_e,,,EX_fe3dhbzs_e
