Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,DM_4crsol_c,,,DM_4crsol_c
1,DM_5drib_c,,,DM_5drib_c
2,DM_aacald_c,,,DM_aacald_c
3,DM_amob_c,,,DM_amob_c
4,DM_mththf_c,,,DM_mththf_c
5,DM_oxam_c,,,DM_oxam_c
6,BIOMASS_Ec_iJO1366_WT_53p95M,,,BIOMASS_Ec_iJO1366_WT_53p95M
7,BIOMASS_Ec_iJO1366_core_53p95M,,,BIOMASS_Ec_iJO1366_core_53p95M
8,EX_12ppd__R_e,,,EX_12ppd__R_e
9,EX_12ppd__S_e,,,EX_12ppd__S_e
10,EX_14glucan_e,,,EX_14glucan_e
11,EX_15dap_e,,,EX_15dap_e
12,EX_23camp_e,,,EX_23camp_e
13,EX_23ccmp_e,,,EX_23ccmp_e
14,EX_ala__L_e,,,EX_ala__L_e
15,EX_alaala_e,,,EX_alaala_e
16,EX_23cgmp_e,,,EX_23cgmp_e
17,EX_all__D_e,,,EX_all__D_e
18,EX_alltn_e,,,EX_alltn_e
19,EX_23cump_e,,,EX_23cump_e
20,EX_amp_e,,,EX_amp_e
21,EX_anhgm_e,,,EX_anhgm_e
22,EX_23dappa_e,,,EX_23dappa_e
23,EX_arab__L_e,,,EX_arab__L_e
24,EX_arbt_e,,,EX_arbt_e
25,EX_26dap__M_e,,,EX_26dap__M_e
26,EX_arbtn_e,,,EX_arbtn_e
27,EX_arbtn_fe3_e,,,EX_arbtn_fe3_e
28,EX_2ddglcn_e,,,EX_2ddglcn_e
29,EX_arg__L_e,,,EX_arg__L_e
30,EX_ascb__L_e,,,EX_ascb__L_e
31,EX_asn__L_e,,,EX_asn__L_e
32,EX_aso3_e,,,EX_aso3_e
33,EX_asp__L_e,,,EX_asp__L_e
34,EX_btn_e,,,EX_btn_e
35,EX_but_e,,,EX_but_e
36,EX_butso3_e,,,EX_butso3_e
37,EX_ca2_e,,,EX_ca2_e
38,EX_feoxam_un_e,,,EX_feoxam_un_e
39,EX_for_e,,,EX_for_e
40,EX_fru_e,,,EX_fru_e
41,EX_frulys_e,,,EX_frulys_e
42,EX_fruur_e,,,EX_fruur_e
43,EX_fuc__L_e,,,EX_fuc__L_e
44,EX_fum_e,,,EX_fum_e
45,EX_cbi_e,,,EX_cbi_e
46,EX_cbl1_e,,,EX_cbl1_e
47,EX_cd2_e,,,EX_cd2_e
48,EX_fusa_e,,,EX_fusa_e
49,EX_34dhpac_e,,,EX_34dhpac_e
50,EX_g1p_e,,,EX_g1p_e
51,EX_g3pc_e,,,EX_g3pc_e
52,EX_g3pe_e,,,EX_g3pe_e
53,EX_g3pg_e,,,EX_g3pg_e
54,EX_cgly_e,,,EX_cgly_e
55,EX_chol_e,,,EX_chol_e
56,EX_chtbs_e,,,EX_chtbs_e
57,EX_cit_e,,,EX_cit_e
58,EX_3amp_e,,,EX_3amp_e
59,EX_cl_e,,,EX_cl_e
60,EX_cm_e,,,EX_cm_e
