Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,EX_acser_e,,,EX_acser_e
1,EX_acnam_e,,,EX_acnam_e
2,EX_acolipa_e,,,EX_acolipa_e
3,EX_adn_e,,,EX_adn_e
4,EX_adocbl_e,,,EX_adocbl_e
5,DM_4crsol_c,,,DM_4crsol_c
6,EX_ade_e,,,EX_ade_e
7,DM_5drib_c,,,DM_5drib_c
8,DM_aacald_c,,,DM_aacald_c
9,DM_amob_c,,,DM_amob_c
10,EX_ag_e,,,EX_ag_e
11,EX_agm_e,,,EX_agm_e
12,DM_mththf_c,,,DM_mththf_c
13,EX_akg_e,,,EX_akg_e
14,EX_fe3dhbzs_e,,,EX_fe3dhbzs_e
15,EX_ala_B_e,,,EX_ala_B_e
16,EX_ala__D_e,,,EX_ala__D_e
17,EX_ala__L_e,,,EX_ala__L_e
18,EX_alaala_e,,,EX_alaala_e
19,EX_all__D_e,,,EX_all__D_e
20,EX_alltn_e,,,EX_alltn_e
21,DM_oxam_c,,,DM_oxam_c
22,BIOMASS_Ec_iJO1366_WT_53p95M,,,BIOMASS_Ec_iJO1366_WT_53p95M
23,BIOMASS_Ec_iJO1366_core_53p95M,,,BIOMASS_Ec_iJO1366_core_53p95M
24,EX_12ppd__R_e,,,EX_12ppd__R_e
25,EX_12ppd__S_e,,,EX_12ppd__S_e
26,EX_amp_e,,,EX_amp_e
27,EX_14glucan_e,,,EX_14glucan_e
28,EX_15dap_e,,,EX_15dap_e
29,EX_anhgm_e,,,EX_anhgm_e
30,EX_fe3hox_e,,,EX_fe3hox_e
31,EX_arab__L_e,,,EX_arab__L_e
32,EX_arbt_e,,,EX_arbt_e
33,EX_arbtn_e,,,EX_arbtn_e
34,EX_arbtn_fe3_e,,,EX_arbtn_fe3_e
35,EX_arg__L_e,,,EX_arg__L_e
36,EX_ascb__L_e,,,EX_ascb__L_e
37,EX_asn__L_e,,,EX_asn__L_e
38,EX_aso3_e,,,EX_aso3_e
39,EX_asp__L_e,,,EX_asp__L_e
40,EX_btn_e,,,EX_btn_e
41,EX_23camp_e,,,EX_23camp_e
42,EX_23ccmp_e,,,EX_23ccmp_e
43,EX_23cgmp_e,,,EX_23cgmp_e
44,EX_23cump_e,,,EX_23cump_e
45,EX_23dappa_e,,,EX_23dappa_e
46,EX_26dap__M_e,,,EX_26dap__M_e
47,EX_2ddglcn_e,,,EX_2ddglcn_e
48,EX_34dhpac_e,,,EX_34dhpac_e
49,EX_3amp_e,,,EX_3amp_e
50,EX_3cmp_e,,,EX_3cmp_e
51,EX_3gmp_e,,,EX_3gmp_e
52,EX_3hcinnm_e,,,EX_3hcinnm_e
53,EX_3hpp_e,,,EX_3hpp_e
54,EX_but_e,,,EX_but_e
55,EX_butso3_e,,,EX_butso3_e
56,EX_ca2_e,,,EX_ca2_e
57,EX_cbi_e,,,EX_cbi_e
58,EX_3hpppn_e,,,EX_3hpppn_e
59,EX_cbl1_e,,,EX_cbl1_e
60,EX_3ump_e,,,EX_3ump_e
61,EX_fe3hox_un_e,,,EX_fe3hox_un_e
62,EX_4abut_e,,,EX_4abut_e
63,EX_4hoxpacd_e,,,EX_4hoxpacd_e
64,EX_cd2_e,,,EX_cd2_e
65,EX_cgly_e,,,EX_cgly_e
66,EX_chol_e,,,EX_chol_e
67,EX_5dglcn_e,,,EX_5dglcn_e
68,EX_5mtr_e,,,EX_5mtr_e
69,EX_fecrm_e,,,EX_fecrm_e
70,EX_LalaDglu_e,,,EX_LalaDglu_e
71,EX_LalaDgluMdap_e,,,EX_LalaDgluMdap_e
72,EX_LalaDgluMdapDala_e,,,EX_LalaDgluMdapDala_e
73,EX_LalaLglu_e,,,EX_LalaLglu_e
74,EX_ac_e,,,EX_ac_e
75,EX_acac_e,,,EX_acac_e
76,EX_chtbs_e,,,EX_chtbs_e
77,EX_cit_e,,,EX_cit_e
78,EX_cl_e,,,EX_cl_e
79,EX_cm_e,,,EX_cm_e
80,EX_cmp_e,,,EX_cmp_e
81,EX_co2_e,,,EX_co2_e
82,EX_cobalt2_e,,,EX_cobalt2_e
83,EX_acald_e,,,EX_acald_e
84,EX_acgal_e,,,EX_acgal_e
85,EX_acgal1p_e,,,EX_acgal1p_e
86,EX_colipa_e,,,EX_colipa_e
87,EX_colipap_e,,,EX_colipap_e
88,EX_acgam_e,,,EX_acgam_e
89,EX_fecrm_un_e,,,EX_fecrm_un_e
90,EX_acgam1p_e,,,EX_acgam1p_e
91,EX_acmana_e,,,EX_acmana_e
92,EX_acmum_e,,,EX_acmum_e
93,EX_cpgn_e,,,EX_cpgn_e
94,EX_cpgn_un_e,,,EX_cpgn_un_e
95,EX_crn_e,,,EX_crn_e
96,EX_feenter_e,,,EX_feenter_e
97,EX_crn__D_e,,,EX_crn__D_e
98,EX_feoxam_e,,,EX_feoxam_e
99,EX_csn_e,,,EX_csn_e
100,EX_cu_e,,,EX_cu_e
101,EX_leu__L_e,,,EX_leu__L_e
102,EX_lipa_e,,,EX_lipa_e
103,EX_feoxam_un_e,,,EX_feoxam_un_e
104,EX_lipa_cold_e,,,EX_lipa_cold_e
105,EX_lipoate_e,,,EX_lipoate_e
106,EX_lys__L_e,,,EX_lys__L_e
107,EX_cu2_e,,,EX_cu2_e
108,EX_cyan_e,,,EX_cyan_e
109,EX_cynt_e,,,EX_cynt_e
110,EX_cys__D_e,,,EX_cys__D_e
111,EX_cys__L_e,,,EX_cys__L_e
112,EX_cytd_e,,,EX_cytd_e
113,EX_dad_2_e,,,EX_dad_2_e
114,EX_lyx__L_e,,,EX_lyx__L_e
115,EX_mal__D_e,,,EX_mal__D_e
116,EX_mal__L_e,,,EX_mal__L_e
117,EX_malt_e,,,EX_malt_e
118,EX_damp_e,,,EX_damp_e
119,EX_dca_e,,,EX_dca_e
120,EX_malthx_e,,,EX_malthx_e
121,EX_for_e,,,EX_for_e
122,EX_maltpt_e,,,EX_maltpt_e
123,EX_malttr_e,,,EX_malttr_e
124,EX_dcmp_e,,,EX_dcmp_e
125,EX_dcyt_e,,,EX_dcyt_e
126,EX_maltttr_e,,,EX_maltttr_e
127,EX_ddca_e,,,EX_ddca_e
128,EX_man_e,,,EX_man_e
129,EX_fru_e,,,EX_fru_e
130,EX_man6p_e,,,EX_man6p_e
131,EX_dgmp_e,,,EX_dgmp_e
132,EX_dgsn_e,,,EX_dgsn_e
133,EX_dha_e,,,EX_dha_e
134,EX_manglyc_e,,,EX_manglyc_e
135,EX_frulys_e,,,EX_frulys_e
136,EX_melib_e,,,EX_melib_e
137,EX_dimp_e,,,EX_dimp_e
138,EX_din_e,,,EX_din_e
139,EX_dms_e,,,EX_dms_e
140,EX_meoh_e,,,EX_meoh_e
141,EX_fruur_e,,,EX_fruur_e
142,EX_met__D_e,,,EX_met__D_e
143,EX_met__L_e,,,EX_met__L_e
144,EX_dmso_e,,,EX_dmso_e
145,EX_dopa_e,,,EX_dopa_e
146,EX_doxrbcn_e,,,EX_doxrbcn_e
147,EX_dtmp_e,,,EX_dtmp_e
148,EX_dump_e,,,EX_dump_e
149,EX_duri_e,,,EX_duri_e
150,EX_metsox_R__L_e,,,EX_metsox_R__L_e
151,EX_metsox_S__L_e,,,EX_metsox_S__L_e
152,EX_mg2_e,,,EX_mg2_e
153,EX_mincyc_e,,,EX_mincyc_e
154,EX_minohp_e,,,EX_minohp_e
155,EX_eca4colipa_e,,,EX_eca4colipa_e
