Unnamed: 0,reaction_id_raw,standard_dGr_prime(kJ/mol),SD(kJ/mol),reaction_id_bigg
0,EX_ade_e,,,EX_ade_e
1,EX_adn_e,,,EX_adn_e
2,EX_adocbl_e,,,EX_adocbl_e
3,EX_ag_e,,,EX_ag_e
4,EX_agm_e,,,EX_agm_e
5,EX_akg_e,,,EX_akg_e
6,EX_ala_B_e,,,EX_ala_B_e
7,EX_ala__D_e,,,EX_ala__D_e
8,EX_ala__L_e,,,EX_ala__L_e
9,EX_alaala_e,,,EX_alaala_e
10,EX_all__D_e,,,EX_all__D_e
11,EX_alltn_e,,,EX_alltn_e
12,EX_amp_e,,,EX_amp_e
13,DM_4crsol_c,,,DM_4crsol_c
14,EX_anhgm_e,,,EX_anhgm_e
15,DM_5drib_c,,,DM_5drib_c
16,EX_arab__L_e,,,EX_arab__L_e
17,DM_aacald_c,,,DM_aacald_c
18,DM_amob_c,,,DM_amob_c
19,DM_mththf_c,,,DM_mththf_c
20,EX_arbt_e,,,EX_arbt_e
21,DM_oxam_c,,,DM_oxam_c
22,BIOMASS_Ec_iJO1366_WT_53p95M,,,BIOMASS_Ec_iJO1366_WT_53p95M
23,EX_fe3dcit_e,,,EX_fe3dcit_e
24,BIOMASS_Ec_iJO1366_core_53p95M,,,BIOMASS_Ec_iJO1366_core_53p95M
25,EX_fe3dhbzs_e,,,EX_fe3dhbzs_e
26,EX_arbtn_e,,,EX_arbtn_e
27,EX_12ppd__R_e,,,EX_12ppd__R_e
28,EX_12ppd__S_e,,,EX_12ppd__S_e
29,EX_arbtn_fe3_e,,,EX_arbtn_fe3_e
30,EX_14glucan_e,,,EX_14glucan_e
31,EX_fe3hox_e,,,EX_fe3hox_e
32,EX_fe3hox_un_e,,,EX_fe3hox_un_e
33,EX_15dap_e,,,EX_15dap_e
34,EX_23camp_e,,,EX_23camp_e
35,EX_23ccmp_e,,,EX_23ccmp_e
36,EX_23cgmp_e,,,EX_23cgmp_e
37,EX_23cump_e,,,EX_23cump_e
38,EX_23dappa_e,,,EX_23dappa_e
39,EX_26dap__M_e,,,EX_26dap__M_e
40,EX_2ddglcn_e,,,EX_2ddglcn_e
41,EX_fecrm_e,,,EX_fecrm_e
42,EX_fecrm_un_e,,,EX_fecrm_un_e
43,EX_feenter_e,,,EX_feenter_e
44,EX_feoxam_e,,,EX_feoxam_e
45,EX_feoxam_un_e,,,EX_feoxam_un_e
46,EX_for_e,,,EX_for_e
47,EX_fru_e,,,EX_fru_e
48,EX_frulys_e,,,EX_frulys_e
49,EX_fruur_e,,,EX_fruur_e
50,EX_34dhpac_e,,,EX_34dhpac_e
51,EX_3amp_e,,,EX_3amp_e
52,EX_3cmp_e,,,EX_3cmp_e
